"","x"
"1237","FBLN7"
"1238","ABR"
"1239","EXT1"
"1240","ARHGAP30"
"1241","CPEB2"
"1242","FECH"
"1243","C5orf56"
"1244","COL8A1"
"1245","ASIC3"
"1246","EML6"
"1247","CLSPN"
"1248","ALDH1L1"
"1249","ALDH5A1"
"1250","ADAM22"
"1251","ANKS1B"
"1252","BOLA2"
"1253","CUEDC1"
"1254","ANO8"
"1255","CEP85L"
"1256","ARHGAP22"
"1257","FIGN"
"1258","CENPF"
"1259","CCNL2"
"1260","ARHGAP32"
"1261","CD47"
"1262","ANKRD36"
"1263","CNTNAP3"
"1264","FBXL15"
"1265","ADCK5"
"1266","FAM118A"
"1267","EFHC1"
"1268","ACAA2"
"1269","APOBEC3F"
"1270","ATAD2"
"1271","BRICD5"
"1272","ARID5B"
"1273","ELOVL4"
"1274","FAM109B"
"1275","DHRS11"
"1276","CDK17"
"1277","ABHD3"
"1278","ALKBH7"
"1279","DOHH"
"1280","C1QL1"
"1281","APOBEC3D"
"1282","AZI1"
"1283","ADAMTSL3"
"1284","CTSZ"
"1285","C1orf159"
"1286","ACOT7"
"1287","CBX1"
"1288","EREG"
"1289","ARID5A"
"1290","CKAP4"
"1291","CCRN4L"
"1292","FAM111A"
"1293","CCDC169"
"1294","FKBP14"
"1295","CORO7"
"1296","CCDC69"
"1297","CLIC2"
"1298","EFCAB13"
"1299","ABCB6"
"1300","CHST6"
"1301","FAM228B"
"1302","EXOC3L4"
"1303","FAM135A"
"1304","EXOC6B"
"1305","CREB3L4"
"1306","ASNS"
"1307","ARGLU1"
"1308","CDKL1"
"1309","ENTPD8"
"1310","FCHSD1"
"1311","CDCA2"
"1312","ABHD6"
"1313","BTN2A2"
"1314","ARHGEF5"
"1315","AHSA2"
"1316","CEP41"
"1317","ESYT3"
"1318","CAMKK1"
"1319","BNIPL"
"1320","BTG3"
"1321","BNIP3L"
"1322","FNDC3B"
"1323","C5"
"1324","CLCN2"
"1325","CACNA2D4"
"1326","C1orf216"
"1327","ACSS2"
"1328","APOLD1"
"1329","CACFD1"
"1330","DDB2"
"1331","EID1"
"1332","FAM110B"
"1333","EFNA4"
"1334","BDH2"
"1335","CASP7"
"1336","ARHGEF1"
"1337","FAM72B"
"1338","CENPU"
"1339","CASK"
"1340","EHBP1L1"
"1341","DECR2"
"1342","DSC3"
"1343","CDH8"
"1344","FAM132A"
"1345","CRYBG3"
"1346","FAM102A"
"1347","CREM"
"1348","CEP70"
"1349","C11orf74"
"1350","C4orf32"
"1351","C17orf51"
"1352","CBR1"
"1353","EML2"
"1354","FBRSL1"
"1355","CFI"
"1356","CXXC4"
"1357","ACOT4"
"1358","C20orf27"
"1359","CPD"
"1360","EOGT"
"1361","DUSP14"
"1362","ANKEF1"
"1363","D2HGDH"
"1364","EHD1"
"1365","C16orf93"
"1366","EDARADD"
"1367","FGD3"
